id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1517	groundwaters	-0.0266	-0.385	5	57	69	10	2014.1	10.8	0.8006
1519	growth	1.0122	0.3843	1	23	29	12	2008.5833	29.5	1.5448
1539	habitat	1.016	0.3321	1	24	31	7	2008.1429	32.7143	1.4555
1576	heat	0.2216	0.7172	2	40	56	10	2013.3	23.4	1.537
1593	heat-flow	-0.1294	0.2759	2	55	93	19	2013.7895	23.6316	1.2084
1606	helium	-0.6255	0.0159	9	68	106	16	2008.9375	20.3125	1.1379
1649	hot spring	-0.1086	-0.1441	4	105	190	36	2016.0556	15.4444	1.7525
1659	hot springs	0.1685	-0.0562	1	108	179	40	2014.625	12.525	0.9462
1665	hot-springs	0.3765	-0.0703	1	141	297	53	2016.1509	12.9434	1.1049
1694	hydrochemical characteristics	-0.6213	0.4398	3	39	57	8	2019.625	12.25	1.4206
1702	hydrochemistry	-0.457	-0.2233	5	146	396	56	2014.2321	14.0536	1.2708
1708	hydrogen	0.1941	-0.2406	9	37	42	7	2008.5714	26.4286	1.4515
1711	hydrogen sulfide	0.6774	-0.3961	1	25	25	7	2015.2857	9.7143	0.6693
1719	hydrogeochemistry	-0.8252	0.1831	4	152	549	80	2017.5375	8.7125	1.1823
1727	hydrogeology	-0.2212	0.5327	2	56	87	19	2012.0526	13.7368	1.2425
1734	hydrology	0.3909	0.5049	1	51	76	13	2011	18	1.2592
1742	hydrothermal	-0.2947	-0.267	3	34	40	6	2016.1667	16.6667	1.1035
